name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,price
"ARBY'S, classic, roast beef sandwich",100 g,242,10g,3.4g,30mg,653.00 mg,0,51.00 mcg,0,4.343 mg,0,0.287 mg,0.217 mg,0,0,0,0,0,0,0,0.96 mcg,0.215 mg,0,0,0,0,0,55.00 mg,0.109 mg,2.64 mg,23.00 mg,0.234 mg,200.00 mg,224.00 mg,18.2 mcg,2.27 mg,15.17 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.21 g,1.3 g,3.84 g,1.50 g,0.00 g,1.34 g,0.00 g,1.00 g,0.00 g,10.30 g,3.399 g,3.987 g,1.762 g,30.00 mg,0,2.41 g,0,0,49.91 g,3.325
"McDONALD'S, Crispy, RANCH SNACK WRAP",100 g,275,15g,3.8g,0,607.00 mg,0,0,0,3.585 mg,0.530 mg,0.265 mg,0.170 mg,0,0,0,0,0,0,0,0.15 mcg,0.166 mg,0.3 mg,0,0,0,0,88.00 mg,0.069 mg,1.47 mg,19.00 mg,0.269 mg,186.00 mg,173.00 mg,19.2 mcg,0.72 mg,11.48 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.22 g,1.3 g,2.48 g,0.25 g,0.00 g,0.33 g,0.13 g,0.29 g,1.47 g,15.10 g,3.837 g,4.407 g,4.926 g,0,0,2.32 g,0,0,47.88 g,1.995
"Muffins, commercially prepared, corn",100 g,305,8.4g,1.4g,26mg,467.00 mg,51.7 mg,62.00 mcg,28.00 mcg,2.037 mg,0.444 mg,0.326 mg,0.273 mg,208.00 IU,52.00 mcg,12.00 mcg,20.00 mcg,0.00 mcg,263.00 mcg,0,0.09 mcg,0.084 mg,0.0 mg,0.00 IU,0.80 mg,0.80 mg,2.3 mcg,74.00 mg,0.299 mg,2.81 mg,32.00 mg,0.355 mg,284.00 mg,69.00 mg,15.2 mcg,0.54 mg,5.90 g,0.285 g,0.319 g,0.480 g,0.110 g,1.326 g,0.224 g,0.151 g,0,0.257 g,0.516 g,0.279 g,0.117 g,0.297 g,0.477 g,0.325 g,0.226 g,0.068 g,0.218 g,0.294 g,51.00 g,3.4 g,17.78 g,0,0,0,0,0,0,8.40 g,1.354 g,2.104 g,3.215 g,26.00 mg,0.0 g,2.10 g,0.00 mg,0.00 mg,32.60 g,1.33
"Pork sausage, cooked, reduced sodium",100 g,271,22g,8.2g,59mg,294.00 mg,39.9 mg,2.00 mcg,0.00 mcg,2.410 mg,0,0.138 mg,0.301 mg,29.00 IU,9.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.36 mcg,0.192 mg,0.0 mg,30.00 IU,0.07 mg,0.07 mg,0.0 mcg,0.00 mg,0.047 mg,0.85 mg,11.00 mg,0,110.00 mg,160.00 mg,15.4 mcg,1.31 mg,9.41 g,0.626 g,0.675 g,1.001 g,0.134 g,1.678 g,0.506 g,0.432 g,0.008 g,0.506 g,0.869 g,0.967 g,0.287 g,0.434 g,0.434 g,0.446 g,0.488 g,0.135 g,0.387 g,0.576 g,8.13 g,0.0 g,0.00 g,0,0,0,0,0,0,22.35 g,8.235 g,9.722 g,3.401 g,59.00 mg,0.0 g,1.24 g,0.00 mg,0.00 mg,58.87 g,2.66
"Cornmeal, yellow, enriched, degermed",100 g,370,1.8g,0.2g,0,7.00 mg,8.6 mg,209.00 mcg,180.00 mcg,4.968 mg,0.240 mg,0.382 mg,0.551 mg,214.00 IU,11.00 mcg,63.00 mcg,97.00 mcg,0.00 mcg,1628.00 mcg,0,0.00 mcg,0.182 mg,0.0 mg,0.00 IU,0.12 mg,0.12 mg,0.0 mcg,3.00 mg,0.076 mg,4.36 mg,32.00 mg,0.174 mg,99.00 mg,142.00 mg,10.5 mcg,0.66 mg,7.11 g,0.560 g,0.239 g,0.465 g,0.159 g,1.455 g,0.217 g,0.172 g,0.000 g,0.242 g,1.006 g,0.105 g,0.162 g,0.366 g,0.746 g,0.341 g,0.172 g,0.038 g,0.187 g,0.337 g,79.45 g,3.9 g,1.61 g,0.17 g,0.00 g,0.56 g,0.00 g,0.19 g,0.68 g,1.75 g,0.220 g,0.390 g,0.828 g,0.00 mg,0.0 g,0.51 g,0.00 mg,0.00 mg,11.18 g,0.266
"Soup, with water, low sodium, tomato",100 g,30,0.3g,0.1g,0,33.00 mg,6.3 mg,0.00 mcg,0.00 mcg,0.505 mg,0,0.031 mg,0.019 mg,192.00 IU,10.00 mcg,0.00 mcg,115.00 mcg,0.00 mcg,44.00 mcg,0,0.00 mcg,0.042 mg,6.3 mg,0.00 IU,0.17 mg,0.17 mg,1.5 mcg,8.00 mg,0.083 mg,0.54 mg,7.00 mg,0.058 mg,14.00 mg,112.00 mg,2.5 mcg,0.12 mg,0.79 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57 g,0.6 g,3.97 g,0,0,0,0,0,0,0.28 g,0.076 g,0.088 g,0.093 g,0.00 mg,0.0 g,0.99 g,0.00 mg,0.00 mg,91.38 g,0.532
"TACO BELL, BURRITO SUPREME with beef",100 g,183,6.8g,2.7g,12mg,451.00 mg,0,45.00 mcg,33.00 mcg,2.090 mg,0.345 mg,0.223 mg,0.213 mg,277.00 IU,52.00 mcg,2.00 mcg,63.00 mcg,22.00 mcg,77.00 mcg,0,0.27 mcg,0.097 mg,0,0,0.28 mg,0.28 mg,5.4 mcg,90.00 mg,0.106 mg,1.82 mg,23.00 mg,0.298 mg,131.00 mg,204.00 mg,10.7 mcg,0.88 mg,7.03 g,0.286 g,0.322 g,0.501 g,0,1.476 g,0.322 g,0.161 g,0.090 g,0.268 g,0.474 g,0.295 g,0.107 g,0.295 g,0.662 g,0.295 g,0.188 g,0.063 g,0.152 g,0.322 g,23.37 g,3.7 g,2.10 g,0.60 g,0.00 g,0.50 g,0.33 g,0.50 g,0.17 g,6.80 g,2.733 g,1.803 g,1.575 g,12.00 mg,0,1.89 g,0,0,60.90 g,3.325
"MURRAY, Shortbread Bites, SUGAR FREE",100 g,371,16g,4.9g,0,518.00 mg,0,95.00 mcg,0,3.600 mg,0,0.300 mg,0.480 mg,0,0,0,0,0,0,0,0,0.020 mg,0,0,0,0,0,0,0,3.00 mg,24.00 mg,0,109.00 mg,104.00 mg,0,0.40 mg,6.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.30 g,14.9 g,1.20 g,0,0,0,0,0,0,15.50 g,4.900 g,3.100 g,5.300 g,0.00 mg,0,0,0,0,2.30 g,0.798
"WENDY'S, with cheese, CLASSIC DOUBLE",100 g,241,14g,5.9g,51mg,422.00 mg,0,0,0,3.520 mg,0.359 mg,0.251 mg,0.242 mg,0,0,0,0,0,0,0,1.92 mcg,0.189 mg,0.7 mg,0,0,0,6.9 mcg,58.00 mg,0.075 mg,2.94 mg,19.00 mg,0.133 mg,134.00 mg,214.00 mg,19.9 mcg,3.05 mg,16.52 g,0.860 g,0.810 g,1.230 g,0.180 g,2.440 g,0.930 g,0.380 g,0,0.590 g,1.060 g,1.010 g,0.340 g,0.570 g,0.900 g,0.600 g,0.570 g,0.160 g,0.350 g,0.680 g,11.71 g,1.1 g,0,0.62 g,0,0.47 g,0.15 g,0.15 g,0.00 g,14.20 g,5.890 g,5.740 g,1.300 g,51.00 mg,0,1.73 g,0,0,55.84 g,3.325
"Potatoes, baked, flesh and skin, red",100 g,89,0.2g,,0,12.00 mg,18.9 mg,27.00 mcg,0.00 mcg,1.595 mg,0.341 mg,0.050 mg,0.072 mg,10.00 IU,1.00 mcg,0.00 mcg,6.00 mcg,0.00 mcg,27.00 mcg,0,0.00 mcg,0.212 mg,12.6 mg,0.00 IU,0.08 mg,0.08 mg,2.8 mcg,9.00 mg,0.174 mg,0.70 mg,28.00 mg,0.173 mg,72.00 mg,545.00 mg,0,0.40 mg,2.30 g,0.070 g,0.113 g,0.537 g,0.027 g,0.393 g,0.064 g,0.039 g,0,0.074 g,0.109 g,0.120 g,0.035 g,0.091 g,0.070 g,0.083 g,0.075 g,0.023 g,0.054 g,0.115 g,19.59 g,1.8 g,1.43 g,0.44 g,0.00 g,0.55 g,0.00 g,0.00 g,0.45 g,0.15 g,0.026 g,0.002 g,0.043 g,0.00 mg,0,1.29 g,0.00 mg,0.00 mg,76.67 g,0.266
"APPLEBEE'S, 9 oz house sirloin steak",100 g,189,9.1g,3.5g,79mg,604.00 mg,0,0,0,4.903 mg,0.345 mg,0.287 mg,0.050 mg,22.00 IU,7.00 mcg,0,0,0,0,0,2.00 mcg,0.575 mg,0,0,0.37 mg,0.37 mg,0,16.00 mg,0.076 mg,2.07 mg,24.00 mg,0.014 mg,202.00 mg,350.00 mg,24.7 mcg,5.35 mg,26.85 g,1.594 g,1.875 g,2.540 g,0.300 g,4.323 g,1.245 g,0.976 g,0,1.334 g,2.263 g,2.332 g,0.648 g,1.121 g,1.175 g,1.010 g,1.257 g,0.356 g,0.984 g,1.392 g,0.00 g,0,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,9.08 g,3.477 g,4.350 g,0.532 g,79.00 mg,0,2.28 g,0,0,61.88 g,6.65
"Beef, smoked, cooked, sausage, cured",100 g,312,27g,11g,67mg,1131.00 mg,0,4.00 mcg,0.00 mcg,3.190 mg,0.188 mg,0.140 mg,0.050 mg,0.00 IU,0.00 mcg,0,0,0,0,0,1.86 mcg,0.110 mg,0.0 mg,0,0,0,0,7.00 mg,0.072 mg,1.76 mg,13.00 mg,0.009 mg,105.00 mg,176.00 mg,14.6 mcg,2.80 mg,14.11 g,1.016 g,0.871 g,1.381 g,0.181 g,2.298 g,1.178 g,0.449 g,0,0.609 g,1.036 g,1.081 g,0.327 g,0.508 g,1.016 g,0.569 g,0.533 g,0.129 g,0.460 g,0.621 g,2.42 g,0.0 g,0,0,0,0,0,0,0,26.91 g,11.440 g,12.970 g,1.050 g,67.00 mg,0,3.00 g,0,0,53.56 g,3.325
"Fast foods, miniature cinnamon rolls",100 g,403,18g,4.7g,21mg,554.00 mg,27.3 mg,0,0,3.160 mg,0.507 mg,0.303 mg,0.254 mg,0,0,0,0,0,0,0,0.11 mcg,0.044 mg,0.0 mg,0,1.11 mg,1.11 mg,13.9 mcg,54.00 mg,0.070 mg,2.55 mg,13.00 mg,0.561 mg,180.00 mg,131.00 mg,11.7 mcg,0.54 mg,7.02 g,0.250 g,0.259 g,0.365 g,0.158 g,2.247 g,0.251 g,0.162 g,0,0.276 g,0.510 g,0.181 g,0.110 g,0.334 g,0.708 g,0.368 g,0.218 g,0.054 g,0.213 g,0.334 g,53.38 g,2.2 g,17.98 g,3.76 g,0.00 g,6.94 g,0.93 g,0.84 g,5.50 g,17.95 g,4.701 g,9.221 g,2.415 g,21.00 mg,0,2.02 g,0,0,19.62 g,1.995
"Snacks, corn, brown rice, rice cakes",100 g,385,3.2g,0.6g,0,167.00 mg,0,19.00 mcg,0.00 mcg,6.435 mg,0.930 mg,0.104 mg,0.080 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.140 mg,0.0 mg,0,0,0,0,9.00 mg,0.420 mg,1.17 mg,114.00 mg,5.080 mg,320.00 mg,275.00 mg,0,2.22 mg,8.40 g,0.524 g,0.569 g,0.721 g,0.114 g,1.655 g,0.390 g,0.223 g,0,0.337 g,0.781 g,0.293 g,0.183 g,0.423 g,0.485 g,0.420 g,0.306 g,0.092 g,0.319 g,0.469 g,81.20 g,2.9 g,0,0,0,0,0,0,0,3.20 g,0.630 g,1.140 g,1.130 g,0.00 mg,0,1.40 g,0,0,5.90 g,0.665
"Lean Pockets, Meatballs & Mozzarella",100 g,240,7.7g,3.1g,20mg,557.00 mg,0,0,0,2.982 mg,0.655 mg,0.248 mg,0.428 mg,256.00 IU,36.00 mcg,0.00 mcg,92.00 mcg,10.00 mcg,153.00 mcg,0,0.46 mcg,0.102 mg,0,0,0,0,3.5 mcg,196.00 mg,0.082 mg,2.06 mg,23.00 mg,0.289 mg,180.00 mg,221.00 mg,10.1 mcg,0.98 mg,10.49 g,0.406 g,0.488 g,0.765 g,0.128 g,2.504 g,0.375 g,0.313 g,0,0.457 g,0.857 g,0.636 g,0.205 g,0.503 g,0.944 g,0.503 g,0.380 g,0.143 g,0.355 g,0.560 g,32.28 g,2.0 g,8.81 g,1.24 g,0.00 g,1.30 g,1.25 g,4.74 g,0.28 g,7.70 g,3.087 g,1.971 g,1.479 g,20.00 mg,0,2.59 g,0,0,46.94 g,2.66
"Chili with beans, microwavable bowls",100 g,100,3.7g,1.4g,10mg,385.00 mg,29.8 mg,24.00 mcg,0.00 mcg,0.941 mg,0.299 mg,0.029 mg,0.019 mg,452.00 IU,23.00 mcg,14.00 mcg,228.00 mcg,73.00 mcg,126.00 mcg,0,0.32 mcg,0.109 mg,0.8 mg,0.00 IU,0.64 mg,0.64 mg,3.9 mcg,34.00 mg,0.080 mg,1.13 mg,25.00 mg,0.205 mg,80.00 mg,245.00 mg,4.0 mcg,0.95 mg,5.85 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.88 g,2.9 g,1.84 g,0.63 g,0.00 g,0.45 g,0.00 g,0.00 g,0.76 g,3.68 g,1.372 g,1.595 g,0.401 g,10.00 mg,0.0 g,1.70 g,0.00 mg,0.00 mg,77.89 g,1.33
"KEEBLER, Dash of Salt Crackers, CLUB",100 g,490,22g,3.6g,0,432.00 mg,0,129.00 mcg,0,4.500 mg,0,0.340 mg,0.560 mg,0,0,0,0,0,0,0,0.00 mcg,0.030 mg,0,0.00 IU,0.00 mg,0.00 mg,0,0,0,4.20 mg,22.00 mg,0,273.00 mg,228.00 mg,0,0.70 mg,6.80 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.30 g,2.1 g,7.30 g,0,0,0,0,0,0,22.40 g,3.600 g,5.400 g,12.800 g,0.00 mg,0,0,0,0,2.50 g,0.665
"Chocolate, 70-85% cacao solids, dark",100 g,598,43g,24g,3mg,20.00 mg,0,0,0,1.054 mg,0.418 mg,0.078 mg,0.034 mg,39.00 IU,2.00 mcg,7.00 mcg,19.00 mcg,1.00 mcg,27.00 mcg,0,0.28 mcg,0.038 mg,0,0,0.59 mg,0.59 mg,7.3 mcg,73.00 mg,1.766 mg,11.90 mg,228.00 mg,1.948 mg,308.00 mg,715.00 mg,6.8 mcg,3.31 mg,7.79 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.90 g,10.9 g,23.99 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,23.99 g,42.63 g,24.489 g,12.781 g,1.257 g,3.00 mg,0,2.32 g,80.00 mg,802.00 mg,1.37 g,2.66
"Waffles, prepared from recipe, plain",100 g,291,14g,2.9g,69mg,511.00 mg,0,46.00 mcg,31.00 mcg,2.073 mg,0.485 mg,0.347 mg,0.263 mg,228.00 IU,65.00 mcg,0,0,0,0,0,0.25 mcg,0.056 mg,0.4 mg,0,0,0,0,255.00 mg,0.062 mg,2.31 mg,19.00 mg,0.265 mg,190.00 mg,159.00 mg,46.2 mcg,0.68 mg,7.90 g,0.301 g,0.345 g,0.509 g,0.145 g,1.989 g,0.247 g,0.187 g,0,0.362 g,0.630 g,0.384 g,0.179 g,0.395 g,0.726 g,0.447 g,0.289 g,0.099 g,0.293 g,0.409 g,32.90 g,0,0,0,0,0,0,0,0,14.10 g,2.866 g,3.521 g,6.785 g,69.00 mg,0,3.10 g,0,0,42.00 g,0.399
"PACE, Jalapenos Nacho Sliced Peppers",100 g,13,0g,,0,1000.00 mg,0,0,0,0,0,0,0,333.00 IU,0,0,0,0,0,0,0,0,12.0 mg,0,0,0,0,67.00 mg,0,0,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33 g,3.3 g,3.33 g,0,0,0,0,0,0,0.00 g,0.000 g,0,0,0.00 mg,0,5.37 g,0,0,91.30 g,0.665
"Fast foods, with chicken, quesadilla",100 g,294,15g,6.2g,37mg,745.00 mg,29.8 mg,52.00 mcg,41.00 mcg,4.200 mg,0,0.180 mg,0.200 mg,271.00 IU,72.00 mcg,0.00 mcg,23.00 mcg,0.00 mcg,5.00 mcg,0,0.19 mcg,0.080 mg,0.1 mg,8.00 IU,0.29 mg,0.29 mg,2.4 mcg,269.00 mg,0.076 mg,1.77 mg,25.00 mg,0.266 mg,313.00 mg,183.00 mg,20.8 mcg,1.42 mg,15.05 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.04 g,1.7 g,1.88 g,0.40 g,0.08 g,0.43 g,0.53 g,0.43 g,0.00 g,15.25 g,6.154 g,3.765 g,4.094 g,37.00 mg,0.0 g,3.05 g,0.00 mg,0.00 mg,42.62 g,3.325
"Snacks, nacho cheese, tortilla chips",100 g,519,27g,3.9g,0,691.00 mg,22.5 mg,13.00 mcg,0.00 mcg,1.290 mg,0.364 mg,0.136 mg,0.153 mg,112.00 IU,6.00 mcg,8.00 mcg,35.00 mcg,55.00 mcg,769.00 mcg,0,0.00 mcg,0.220 mg,0.4 mg,0.00 IU,6.24 mg,6.24 mg,1.3 mcg,137.00 mg,0.102 mg,1.16 mg,75.00 mg,0.330 mg,252.00 mg,223.00 mg,7.4 mcg,1.38 mg,7.36 g,0.503 g,0.387 g,0.537 g,0.125 g,1.507 g,0.286 g,0.238 g,0.000 g,0.296 g,0.881 g,0.291 g,0.163 g,0.374 g,0.676 g,0.370 g,0.282 g,0.066 g,0.318 g,0.402 g,60.81 g,5.1 g,2.59 g,0,0,0,0,0,0,27.42 g,3.876 g,9.089 g,12.257 g,0.00 mg,0.0 g,2.75 g,0.00 mg,0.00 mg,1.66 g,1.33
"Snacks, ranch-flavor, tortilla chips",100 g,501,25g,3.5g,0,519.00 mg,18.4 mg,0,0.00 mcg,1.300 mg,0.600 mg,0.060 mg,0.048 mg,0,0,0,0,0,0,0,0,0.200 mg,0.0 mg,0,0,0,1.4 mcg,134.00 mg,0.101 mg,1.38 mg,87.00 mg,0.365 mg,252.00 mg,259.00 mg,7.3 mcg,1.43 mg,7.19 g,0.528 g,0.385 g,0.542 g,0.131 g,1.463 g,0.295 g,0.223 g,0.000 g,0.280 g,0.871 g,0.246 g,0.154 g,0.358 g,0.633 g,0.351 g,0.285 g,0.058 g,0.297 g,0.380 g,62.74 g,4.0 g,3.03 g,0.34 g,0.07 g,0.44 g,1.11 g,0.00 g,1.07 g,24.63 g,3.539 g,7.047 g,13.528 g,0,0,2.30 g,0,0,3.14 g,1.33
"PEPPERIDGE FARM, Pumpernickel Bread",100 g,259,3.4g,0.9g,0,586.00 mg,0,0,0,3.800 mg,0,0.300 mg,0.300 mg,0.00 IU,0,0,0,0,0,0,0,0,0.0 mg,0,0,0,0,110.00 mg,0,4.10 mg,0,0,0,0,0,0,0.01 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.90 g,5.3 g,3.40 g,0,0,0,0,0,0,3.40 g,0.900 g,0.600 g,1.600 g,0.00 mg,0,2.80 g,0,0,37.47 g,0.4522
"Stew, squash (Navajo), corn, mutton",100 g,103,4.3g,1.7g,43mg,49.00 mg,0,18.00 mcg,0,2.000 mg,0.270 mg,0.110 mg,0.030 mg,0.00 IU,0.00 mcg,0,0,0,0,0,1.16 mcg,0.108 mg,0.0 mg,0,0.37 mg,0.37 mg,1.8 mcg,38.00 mg,0.063 mg,1.21 mg,21.00 mg,0.087 mg,111.00 mg,199.00 mg,8.4 mcg,1.87 mg,8.62 g,0.550 g,0.470 g,0.679 g,0.090 g,1.241 g,0.553 g,0.217 g,0,0.336 g,0.678 g,0.560 g,0.211 g,0.330 g,0.474 g,0.314 g,0.306 g,0.057 g,0.233 g,0.385 g,7.27 g,1.7 g,0.61 g,0.18 g,0.00 g,0.18 g,0.00 g,0.00 g,0.25 g,4.34 g,1.735 g,1.748 g,0.383 g,43.00 mg,0,3.63 g,0,0,76.13 g,0.798
"Stew, dumpling with mutton (Navajo)",100 g,101,3.8g,1.7g,28mg,46.00 mg,0,41.00 mcg,0,2.005 mg,0.162 mg,0.091 mg,0.065 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.82 mcg,0.041 mg,0.0 mg,0,0.37 mg,0.37 mg,1.7 mcg,14.00 mg,0.053 mg,1.79 mg,8.00 mg,0.064 mg,63.00 mg,82.00 mg,10.2 mcg,1.85 mg,8.71 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03 g,0,0.21 g,0.00 g,0.00 g,0.00 g,0.00 g,0.21 g,0.00 g,3.78 g,1.709 g,1.533 g,0.274 g,28.00 mg,0,0.27 g,0,0,79.21 g,0.8246
"Danish pastry, unenriched, cinnamon",100 g,403,22g,5.7g,21mg,371.00 mg,0,33.00 mcg,0.00 mcg,1.100 mg,0.396 mg,0.100 mg,0.180 mg,12.00 IU,4.00 mcg,0,0,0,0,0,0.10 mcg,0.038 mg,0.2 mg,0,0,0,0,71.00 mg,0.100 mg,0.78 mg,19.00 mg,0.362 mg,107.00 mg,125.00 mg,0,0.72 mg,7.00 g,0.274 g,0.312 g,0.463 g,0.139 g,1.882 g,0.245 g,0.160 g,0,0.310 g,0.532 g,0.296 g,0.139 g,0.348 g,0.637 g,0.376 g,0.245 g,0.084 g,0.233 g,0.344 g,44.60 g,1.2 g,0,0,0,0,0,0,0,22.40 g,5.681 g,12.515 g,2.933 g,21.00 mg,0,1.70 g,0,0,24.30 g,0.7714
"Potatoes, home-prepared, hash brown",100 g,265,13g,1.9g,0,342.00 mg,23.2 mg,16.00 mcg,0.00 mcg,2.302 mg,0.893 mg,0.033 mg,0.172 mg,5.00 IU,0.00 mcg,0.00 mcg,3.00 mcg,0.00 mcg,16.00 mcg,0,0.00 mcg,0.472 mg,13.0 mg,0.00 IU,0.01 mg,0.01 mg,3.7 mcg,14.00 mg,0.293 mg,0.55 mg,35.00 mg,0.247 mg,70.00 mg,576.00 mg,0.5 mcg,0.47 mg,3.00 g,0.093 g,0.139 g,0.735 g,0.039 g,0.504 g,0.089 g,0.067 g,0,0.123 g,0.181 g,0.182 g,0.047 g,0.133 g,0.109 g,0.132 g,0.109 g,0.047 g,0.112 g,0.168 g,35.11 g,3.2 g,1.49 g,0.52 g,0.00 g,0.64 g,0.00 g,0.00 g,0.33 g,12.52 g,1.883 g,5.299 g,4.703 g,0.00 mg,0.0 g,2.12 g,0.00 mg,0.00 mg,47.25 g,0.1862
"APPLEBEE'S, chicken tenders platter",100 g,297,16g,2.8g,52mg,740.00 mg,0,0,0,7.847 mg,1.670 mg,0.183 mg,0.103 mg,67.00 IU,9.00 mcg,1.00 mcg,20.00 mcg,11.00 mcg,72.00 mcg,0,0.14 mcg,0.506 mg,0,0,1.45 mg,1.45 mg,0,23.00 mg,0.069 mg,0.90 mg,30.00 mg,0.258 mg,298.00 mg,336.00 mg,16.8 mcg,0.71 mg,19.62 g,1.120 g,1.214 g,1.727 g,0.272 g,3.464 g,0.858 g,0.712 g,0.040 g,1.015 g,1.622 g,1.476 g,0.523 g,0.816 g,0.973 g,0.586 g,0.638 g,0.220 g,0.523 g,1.109 g,17.98 g,1.0 g,0.36 g,0.00 g,0.00 g,0.36 g,0.00 g,0.00 g,0.00 g,16.24 g,2.849 g,4.385 g,7.042 g,52.00 mg,0,2.78 g,0,0,43.38 g,1.8487
"Cake, commercially prepared, sponge",100 g,290,2.7g,0.8g,102mg,623.00 mg,37.1 mg,47.00 mcg,34.00 mcg,1.932 mg,0.478 mg,0.269 mg,0.243 mg,154.00 IU,44.00 mcg,1.00 mcg,4.00 mcg,2.00 mcg,85.00 mcg,0,0.24 mcg,0.052 mg,0.0 mg,9.00 IU,0.24 mg,0.24 mg,0.2 mcg,70.00 mg,0.062 mg,2.72 mg,11.00 mg,0.210 mg,137.00 mg,99.00 mg,9.1 mcg,0.51 mg,5.40 g,0.231 g,0.264 g,0.391 g,0.119 g,1.223 g,0.178 g,0.119 g,0,0.251 g,0.419 g,0.297 g,0.126 g,0.263 g,0.403 g,0.342 g,0.213 g,0.072 g,0.187 g,0.281 g,61.00 g,0.5 g,36.66 g,0,0,0,0,0,0,2.70 g,0.802 g,0.949 g,0.448 g,102.00 mg,0.0 g,1.20 g,0.00 mg,0.00 mg,29.70 g,0.4921
"KELLOGG'S, Blueberry, Waffles, EGGO",100 g,265,8.7g,2.1g,21mg,520.00 mg,0,73.00 mcg,0,5.700 mg,0,0.490 mg,0.430 mg,1429.00 IU,429.00 mcg,0,0,0,0,0,1.70 mcg,0.570 mg,0,2.00 IU,0.00 mg,0.00 mg,0,357.00 mg,0,6.40 mg,15.00 mg,0,279.00 mg,71.00 mg,0,0.40 mg,5.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.70 g,1.1 g,9.10 g,0,0,0,0,0,0,8.70 g,2.100 g,2.100 g,3.500 g,21.00 mg,0,0,0,0,40.50 g,0.4522
"Beef, jellied, luncheon meat, cured",100 g,111,3.3g,1.4g,34mg,1322.00 mg,0,7.00 mcg,0.00 mcg,4.838 mg,0.687 mg,0.291 mg,0.145 mg,0.00 IU,0.00 mcg,0,0,0,0,0,5.14 mcg,0.250 mg,0.0 mg,0,0,0,0,10.00 mg,0.120 mg,3.45 mg,18.00 mg,0.052 mg,139.00 mg,402.00 mg,16.4 mcg,3.55 mg,19.00 g,1.307 g,1.316 g,1.617 g,0.198 g,2.627 g,1.800 g,0.499 g,0,0.714 g,1.313 g,1.459 g,0.420 g,0.672 g,1.246 g,0.760 g,0.742 g,0.137 g,0.511 g,0.824 g,0.00 g,0.0 g,0,0,0,0,0,0,0,3.30 g,1.410 g,1.450 g,0.170 g,34.00 mg,0,3.40 g,0,0,74.60 g,1.0773
"Pickles, low sodium, sour, cucumber",100 g,11,0.2g,0.1g,0,18.00 mg,3.6 mg,1.00 mcg,0.00 mcg,0.000 mg,0.038 mg,0.010 mg,0.000 mg,191.00 IU,10.00 mcg,20.00 mcg,81.00 mcg,47.00 mcg,43.00 mcg,0,0.00 mcg,0.009 mg,1.0 mg,0.00 IU,0.09 mg,0.09 mg,47.0 mcg,0.00 mg,0.085 mg,0.40 mg,4.00 mg,0.011 mg,14.00 mg,23.00 mg,0.0 mcg,0.02 mg,0.33 g,0.011 g,0.021 g,0.020 g,0.002 g,0.095 g,0.012 g,0.005 g,0,0.010 g,0.014 g,0.014 g,0.003 g,0.009 g,0.008 g,0.010 g,0.009 g,0.003 g,0.006 g,0.011 g,2.26 g,1.2 g,1.06 g,0,0,0,0,0,0,0.20 g,0.052 g,0.003 g,0.081 g,0.00 mg,0.0 g,3.13 g,0.00 mg,0.00 mg,94.08 g,0.3458
