,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,price
368,"Potato salad, home-prepared",100 g,143.0,8.2g,1.4g,68mg,529.00 mg,0,7.00 mcg,0.00 mcg,0.890 mg,0.534 mg,0.060 mg,0.077 mg,157.00 IU,32.00 mcg,0,36.00 mcg,0,0,0.0,0.00 mcg,0.141 mg,10.0 mg,0.00 IU,0,0,0,19.00 mg,0.118 mg,0.65 mg,15.00 mg,0.101 mg,52.00 mg,254.00 mg,4.1 mcg,0.31 mg,2.68 g,0.124 g,0.152 g,0.425 g,0.051 g,0.387 g,0.086 g,0.062 g,0,0.141 g,0.202 g,0.171 g,0.066 g,0.135 g,0.102 g,0.164 g,0.116 g,0.042 g,0.104 g,0.172 g,11.17 g,1.3 g,0,0,0,0,0,0,0,8.20 g,1.429 g,2.480 g,3.737 g,68.00 mg,0,1.95 g,0,0,76.00 g,1.0
369,"GIRL SCOUTS, Chalet Cookies",100 g,478.0,19g,6.4g,0,247.00 mg,0,80.00 mcg,0,2.200 mg,0,0.190 mg,0.280 mg,0,0,0,0,0,0,0.0,0,0.020 mg,0,0,0,0,0,0,0,3.30 mg,10.00 mg,0,43.00 mg,68.00 mg,0,0.50 mg,4.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.30 g,1.5 g,35.40 g,0,0,0,0,0,0,19.10 g,6.400 g,4.200 g,6.900 g,0.00 mg,0,0,0,0,2.80 g,2.0
370,"GIRL SCOUTS, Samoas Cookies",100 g,489.0,26g,18g,2mg,182.00 mg,0,28.00 mcg,0,1.200 mg,0,0.120 mg,0.140 mg,0,0,0,0,0,0,0.0,0,0.050 mg,0,0,0,0,0,0,0,3.20 mg,30.00 mg,0,76.00 mg,195.00 mg,0,0.50 mg,3.50 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.10 g,4.4 g,35.80 g,0,0,0,0,0,0,25.80 g,17.700 g,2.800 g,3.700 g,2.00 mg,0,0,0,0,5.70 g,2.0
371,"Cheese, semisoft type, goat",100 g,364.0,30g,21g,79mg,415.00 mg,15.4 mg,2.00 mcg,0.00 mcg,1.148 mg,0.190 mg,0.676 mg,0.072 mg,1464.00 IU,407.00 mcg,0.00 mcg,77.00 mcg,0.00 mcg,0.00 mcg,0.0,0.22 mcg,0.060 mg,0.0 mg,22.00 IU,0.26 mg,0.26 mg,2.5 mcg,298.00 mg,0.564 mg,1.62 mg,29.00 mg,0.093 mg,375.00 mg,158.00 mg,3.8 mcg,0.66 mg,21.58 g,0.372 g,0.639 g,1.072 g,0.098 g,4.022 g,0.244 g,0.589 g,0,0.893 g,1.861 g,1.549 g,0.575 g,0.859 g,2.612 g,0.829 g,0.805 g,0.227 g,0.842 g,1.485 g,0.12 g,0.0 g,0.12 g,0,0,0,0,0,0,29.84 g,20.639 g,6.808 g,0.709 g,79.00 mg,0.0 g,2.94 g,0.00 mg,0.00 mg,45.52 g,4.0
372,"Game meat, raw, ground, elk",100 g,172.0,8.8g,3.5g,66mg,79.00 mg,0,7.00 mcg,0.00 mcg,4.890 mg,0.960 mg,0.260 mg,0.125 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,2.13 mcg,0.336 mg,0.0 mg,0,0.28 mg,0.28 mg,0,12.00 mg,0.150 mg,2.75 mg,22.00 mg,0.023 mg,195.00 mg,322.00 mg,8.0 mcg,5.40 mg,21.76 g,1.214 g,1.302 g,1.826 g,0.214 g,3.089 g,1.107 g,0.670 g,0.204 g,0.913 g,1.622 g,1.778 g,0.534 g,0.797 g,0.923 g,0.777 g,0.874 g,0.194 g,0.680 g,1.010 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,8.82 g,3.469 g,2.507 g,0.415 g,66.00 mg,0.0 g,1.04 g,0.00 mg,0.00 mg,68.84 g,4.0
373,"Candies, unsweetened, carob",100 g,540.0,31g,29g,1mg,107.00 mg,19.0 mg,21.00 mcg,0.00 mcg,1.040 mg,0.750 mg,0.178 mg,0.100 mg,10.00 IU,1.00 mcg,0.00 mcg,5.00 mcg,0.00 mcg,0.00 mcg,0.0,0.28 mcg,0.130 mg,0.5 mg,0.00 IU,1.57 mg,1.57 mg,7.7 mcg,303.00 mg,0.183 mg,1.29 mg,36.00 mg,0.140 mg,126.00 mg,633.00 mg,5.2 mcg,3.53 mg,8.15 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.29 g,3.8 g,34.11 g,0,0,0,0,0,0,31.36 g,29.018 g,0.483 g,0.295 g,1.00 mg,0.0 g,2.66 g,0.00 mg,0.00 mg,1.54 g,2.0
374,"Babyfood, toddler, potatoes",100 g,52.0,0.1g,,0,57.00 mg,13.2 mg,6.00 mcg,0.00 mcg,0.350 mg,0.305 mg,0.010 mg,0.020 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.00 mcg,0.070 mg,10.5 mg,0.00 IU,0.02 mg,0.02 mg,0.2 mcg,4.00 mg,0.070 mg,0.20 mg,15.00 mg,0.070 mg,23.00 mg,110.00 mg,0.8 mcg,0.17 mg,1.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.73 g,0.9 g,0.91 g,0,0,0,0,0,0,0.10 g,0.015 g,0.002 g,0.025 g,0.00 mg,0.0 g,0.37 g,0.00 mg,0.00 mg,86.80 g,0.8
375,"Veal, cooked, seam fat only",100 g,505.0,50g,16g,82mg,87.00 mg,53.8 mg,0.00 mcg,0.00 mcg,2.840 mg,0.440 mg,0.160 mg,0.047 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,1.62 mcg,0.203 mg,0.0 mg,181.00 IU,0.52 mg,0.52 mg,2.4 mcg,43.00 mg,0.081 mg,1.15 mg,24.00 mg,0.034 mg,152.00 mg,155.00 mg,9.7 mcg,2.00 mg,11.16 g,0.664 g,0.656 g,0.963 g,0.126 g,1.765 g,0.573 g,0.405 g,0.056 g,0.549 g,0.888 g,0.919 g,0.260 g,0.450 g,0.466 g,0.418 g,0.487 g,0.113 g,0.356 g,0.617 g,2.11 g,0.0 g,0.00 g,0,0,0,0,0,0,50.17 g,16.316 g,20.589 g,2.972 g,82.00 mg,0.0 g,0.57 g,0.00 mg,0.00 mg,35.99 g,3.5
376,"Sauce, ready-to-serve, duck",100 g,245.0,0.1g,0.1g,0,455.00 mg,1.7 mg,2.00 mcg,0.00 mcg,0.239 mg,0,0.014 mg,0.023 mg,168.00 IU,8.00 mcg,0.00 mcg,100.00 mcg,0.00 mcg,1.00 mcg,0.0,0.00 mcg,0.032 mg,0.9 mg,0.00 IU,0.20 mg,0.20 mg,0.3 mcg,11.00 mg,0.037 mg,0.39 mg,5.00 mg,0.429 mg,9.00 mg,87.00 mg,1.3 mcg,0.21 mg,0.36 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.61 g,0.6 g,30.54 g,0,0,0,0,0,0,0.13 g,0.051 g,0.018 g,0.027 g,0.00 mg,0.0 g,1.40 g,0.00 mg,0.00 mg,37.44 g,2.5
377,"Corn dogs, prepared, frozen",100 g,250.0,12g,3.5g,44mg,668.00 mg,26.9 mg,60.00 mcg,53.00 mcg,2.786 mg,0.406 mg,0.155 mg,0.141 mg,166.00 IU,48.00 mcg,0.00 mcg,3.00 mcg,4.00 mcg,132.00 mcg,0.0,0.48 mcg,0.117 mg,0.5 mg,15.00 IU,0.60 mg,0.60 mg,5.8 mcg,72.00 mg,0.072 mg,1.90 mg,17.00 mg,0.171 mg,224.00 mg,125.00 mg,27.6 mcg,0.85 mg,8.57 g,0.403 g,0.391 g,0.589 g,0.117 g,1.805 g,0.415 g,0.217 g,0,0.328 g,0.630 g,0.452 g,0.148 g,0.366 g,0.596 g,0.355 g,0.274 g,0.089 g,0.228 g,0.408 g,26.96 g,1.0 g,7.54 g,0.00 g,0.00 g,0.62 g,0.00 g,0.69 g,6.23 g,12.02 g,3.466 g,4.732 g,3.354 g,44.00 mg,0.0 g,2.13 g,0.00 mg,0.00 mg,50.32 g,0.9
378,"Seeds, paste, sesame butter",100 g,586.0,51g,7.1g,0,12.00 mg,0,100.00 mcg,0.00 mcg,6.700 mg,0.052 mg,0.200 mg,0.240 mg,50.00 IU,3.00 mcg,0,0,0,0,0.0,0.00 mcg,0.816 mg,0.0 mg,0.00 IU,0,0,0,960.00 mg,4.214 mg,19.20 mg,362.00 mg,2.540 mg,659.00 mg,582.00 mg,35.5 mcg,7.29 mg,18.08 g,0.945 g,2.682 g,1.679 g,0.365 g,4.033 g,1.239 g,0.532 g,0,0.778 g,1.385 g,0.580 g,0.597 g,0.959 g,0.826 g,0.986 g,0.751 g,0.396 g,0.757 g,1.010 g,24.05 g,5.5 g,0,0,0,0,0,0,0,50.87 g,7.124 g,19.209 g,22.296 g,0.00 mg,0.0 g,5.40 g,0,0,1.60 g,3.5
379,"Noodles, enriched, dry, egg",100 g,384.0,4.4g,1.2g,84mg,21.00 mg,78.7 mg,230.00 mcg,201.00 mcg,8.387 mg,0.912 mg,0.426 mg,1.133 mg,62.00 IU,17.00 mcg,0.00 mcg,2.00 mcg,1.00 mcg,110.00 mcg,0.0,0.29 mcg,0.216 mg,0.0 mg,11.00 IU,0.37 mg,0.37 mg,0.5 mcg,35.00 mg,0.297 mg,4.01 mg,58.00 mg,0.855 mg,241.00 mg,244.00 mg,78.8 mcg,1.92 mg,14.16 g,0.516 g,0.600 g,0.762 g,0.299 g,4.580 g,0.496 g,0.378 g,0,0.593 g,1.139 g,0.429 g,0.268 g,0.748 g,1.544 g,0.803 g,0.430 g,0.133 g,0.293 g,0.686 g,71.27 g,3.3 g,1.88 g,0.00 g,0.00 g,0.10 g,0.00 g,1.53 g,0.27 g,4.44 g,1.180 g,1.252 g,1.331 g,84.00 mg,0.0 g,1.12 g,0.00 mg,0.00 mg,9.01 g,0.7
380,"Persimmons, dried, japanese",100 g,274.0,0.6g,,0,2.00 mg,0,0,0,0.180 mg,0,0.029 mg,0,767.00 IU,38.00 mcg,18.00 mcg,374.00 mcg,156.00 mcg,0,0.0,0.00 mcg,0,0.0 mg,0.00 IU,0,0,0,25.00 mg,0.442 mg,0.74 mg,31.00 mg,1.390 mg,81.00 mg,802.00 mg,0,0.42 mg,1.38 g,0.068 g,0.059 g,0.136 g,0.030 g,0.179 g,0.060 g,0.027 g,0,0.060 g,0.101 g,0.078 g,0.012 g,0.063 g,0.053 g,0.053 g,0.071 g,0.024 g,0.039 g,0.072 g,73.43 g,14.5 g,0,0,0,0,0,0,0,0.59 g,0,0,0,0.00 mg,0,1.59 g,0,0,23.01 g,5.0
381,"Carrots, unprepared, frozen",100 g,36.0,0.5g,,0,68.00 mg,7.5 mg,10.00 mcg,0.00 mcg,0.464 mg,0.187 mg,0.037 mg,0.044 mg,14210.00 IU,710.00 mcg,2958.00 mcg,7047.00 mcg,0.00 mcg,218.00 mcg,0.0,0.00 mcg,0.095 mg,2.5 mg,0.00 IU,0.57 mg,0.57 mg,17.6 mcg,36.00 mg,0.074 mg,0.44 mg,12.00 mg,0.171 mg,33.00 mg,235.00 mg,0.7 mcg,0.33 mg,0.78 g,0.062 g,0.045 g,0.144 g,0.009 g,0.212 g,0.031 g,0.017 g,0,0.043 g,0.045 g,0.042 g,0.007 g,0.034 g,0.030 g,0.036 g,0.040 g,0.011 g,0.021 g,0.046 g,7.90 g,3.3 g,4.76 g,0.31 g,0.00 g,0.40 g,0.00 g,0.00 g,4.05 g,0.46 g,0.047 g,0.014 g,0.263 g,0.00 mg,0.0 g,0.83 g,0.00 mg,0.00 mg,90.04 g,0.7
382,"Carambola, raw, (starfruit)",100 g,31.0,0.3g,,0,2.00 mg,7.6 mg,12.00 mcg,0.00 mcg,0.367 mg,0.391 mg,0.016 mg,0.014 mg,61.00 IU,3.00 mcg,24.00 mcg,25.00 mcg,0.00 mcg,66.00 mcg,0.0,0.00 mcg,0.017 mg,34.4 mg,0.00 IU,0.15 mg,0.15 mg,0.0 mcg,3.00 mg,0.137 mg,0.08 mg,10.00 mg,0.037 mg,12.00 mg,133.00 mg,0.6 mcg,0.12 mg,1.04 g,0.071 g,0.021 g,0.098 g,0,0.148 g,0.050 g,0.008 g,0,0.044 g,0.077 g,0.077 g,0.021 g,0.037 g,0.050 g,0.083 g,0.044 g,0.008 g,0.044 g,0.050 g,6.73 g,2.8 g,3.98 g,0,0,0,0,0,0,0.33 g,0.019 g,0.030 g,0.184 g,0.00 mg,0.0 g,0.52 g,0.00 mg,0.00 mg,91.38 g,3.0
383,"Fast foods, chicken tenders",100 g,271.0,14g,2.5g,48mg,769.00 mg,43.7 mg,19.00 mcg,6.00 mcg,8.217 mg,1.244 mg,0.179 mg,0.110 mg,11.00 IU,3.00 mcg,0.00 mcg,2.00 mcg,0.00 mcg,83.00 mcg,0.0,0.16 mcg,0.426 mg,1.1 mg,7.00 IU,3.17 mg,3.17 mg,8.0 mcg,17.00 mg,0.069 mg,0.73 mg,28.00 mg,0.228 mg,282.00 mg,373.00 mg,17.5 mcg,0.71 mg,19.22 g,1.014 g,1.215 g,1.616 g,0.285 g,3.190 g,0.845 g,0.655 g,0.040 g,0.845 g,1.553 g,1.616 g,0.518 g,1.437 g,1.595 g,0.792 g,0.803 g,0.222 g,0.539 g,0.908 g,17.25 g,1.2 g,0.40 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.40 g,13.95 g,2.493 g,4.830 g,5.783 g,48.00 mg,0.0 g,2.92 g,0.00 mg,0.00 mg,46.64 g,1.5
384,"Beans, home prepared, baked",100 g,155.0,5.2g,1.9g,5mg,422.00 mg,0,48.00 mcg,0.00 mcg,0.408 mg,0.155 mg,0.049 mg,0.136 mg,0.00 IU,0.00 mcg,0,0,0,0,0.0,0.00 mcg,0.090 mg,1.1 mg,0.00 IU,0,0,0,61.00 mg,0.159 mg,1.99 mg,43.00 mg,0.255 mg,109.00 mg,358.00 mg,5.7 mcg,0.73 mg,5.54 g,0.236 g,0.356 g,0.637 g,0.062 g,0.841 g,0.232 g,0.153 g,0,0.242 g,0.428 g,0.379 g,0.086 g,0.287 g,0.239 g,0.288 g,0.228 g,0.067 g,0.155 g,0.282 g,21.63 g,5.5 g,0,0,0,0,0,0,0,5.15 g,1.948 g,2.133 g,0.740 g,5.00 mg,0,2.51 g,0,0,65.17 g,0.5
385,"Cream, half and half, fluid",100 g,123.0,10g,7g,35mg,61.00 mg,18.7 mg,3.00 mcg,0.00 mcg,0.109 mg,0.539 mg,0.194 mg,0.030 mg,354.00 IU,97.00 mcg,0.00 mcg,22.00 mcg,0.00 mcg,0.00 mcg,0.0,0.19 mcg,0.050 mg,0.9 mg,2.00 IU,0.25 mg,0.25 mg,1.3 mcg,107.00 mg,0.009 mg,0.05 mg,10.00 mg,0.005 mg,95.00 mg,132.00 mg,3.2 mcg,0.39 mg,3.13 g,0.100 g,0.073 g,0.230 g,0.016 g,0.629 g,0.073 g,0.073 g,0,0.160 g,0.258 g,0.136 g,0.073 g,0.143 g,0.332 g,0.104 g,0.139 g,0.073 g,0.147 g,0.187 g,4.73 g,0.0 g,4.13 g,0.00 g,0.00 g,0.00 g,4.13 g,0.00 g,0.00 g,10.39 g,7.032 g,3.320 g,0.554 g,35.00 mg,0.0 g,0.51 g,0.00 mg,0.00 mg,81.24 g,0.6
386,"SILK Light Vanilla, soymilk",100 g,33.0,0.8g,,0,39.00 mg,0,10.00 mcg,0,0,0,0.210 mg,0,206.00 IU,0,0,0,0,0,0.0,1.23 mcg,0,0.0 mg,49.00 IU,0,0,0,123.00 mg,0,0.44 mg,16.00 mg,0,0,123.00 mg,2.3 mcg,0.25 mg,2.47 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12 g,0.4 g,2.88 g,0,0,0,0,0,0,0.82 g,0.000 g,0,0,0.00 mg,0,0.64 g,0,0,91.95 g,0.5
387,"Turnips, unprepared, frozen",100 g,16.0,0.2g,,0,25.00 mg,0,8.00 mcg,0.00 mcg,0.400 mg,0.106 mg,0.020 mg,0.030 mg,26.00 IU,1.00 mcg,0,0,0,0,0.0,0.00 mcg,0.048 mg,4.4 mg,0.00 IU,0,0,0,23.00 mg,0.045 mg,0.70 mg,10.00 mg,0.071 mg,20.00 mg,137.00 mg,0.4 mcg,0.14 mg,1.04 g,0.040 g,0.028 g,0.073 g,0.006 g,0.149 g,0.029 g,0.016 g,0,0.042 g,0.038 g,0.041 g,0.013 g,0.020 g,0.030 g,0.033 g,0.029 g,0.010 g,0.015 g,0.034 g,2.94 g,1.8 g,0,0,0,0,0,0,0,0.16 g,0.017 g,0.010 g,0.085 g,0.00 mg,0,0.19 g,0,0,95.67 g,0.6
388,"PACE, Cilantro Chunky Salsa",100 g,25.0,0g,,0,844.00 mg,0,0,0,0,0,0,0,313.00 IU,0,0,0,0,0,0.0,0,0,0.0 mg,0,0,0,0,0.00 mg,0,0.00 mg,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25 g,3.1 g,6.25 g,0,0,0,0,0,0,0.00 g,0.000 g,0,0,0.00 mg,0,5.15 g,0,0,88.60 g,0.9
389,"PACE, Chipotle Chunky Salsa",100 g,25.0,0g,,0,719.00 mg,0,0,0,0,0,0,0,625.00 IU,0,0,0,0,0,0.0,0,0,0.0 mg,0,0,0,0,0.00 mg,0,0.00 mg,0,0,0,0,0,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25 g,3.1 g,6.25 g,0,0,0,0,0,0,0.00 g,0.000 g,0,0,0.00 mg,0,5.15 g,0,0,88.60 g,0.9
390,"Jams and preserves, apricot",100 g,242.0,0.2g,,0,40.00 mg,0.4 mg,1.00 mcg,0.00 mcg,0.036 mg,0.020 mg,0.022 mg,0.000 mg,205.00 IU,10.00 mcg,2.00 mcg,116.00 mcg,11.00 mcg,9.00 mcg,0.0,0.00 mcg,0.020 mg,8.8 mg,0.00 IU,0.13 mg,0.13 mg,0.0 mcg,20.00 mg,0.100 mg,0.49 mg,4.00 mg,0.040 mg,3.00 mg,77.00 mg,2.0 mcg,0.06 mg,0.70 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.40 g,0.3 g,43.40 g,0,0,0,0,0,0,0.20 g,0.010 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.20 g,0.00 mg,0.00 mg,34.50 g,1.5
391,"Butter, with salt, whipped",100 g,718.0,78g,45g,225mg,583.00 mg,18.8 mg,4.00 mcg,0.00 mcg,0.022 mg,0.097 mg,0.064 mg,0.007 mg,2468.00 IU,683.00 mcg,1.00 mcg,135.00 mcg,6.00 mcg,13.00 mcg,0.0,0.07 mcg,0.008 mg,0.0 mg,0.00 IU,1.37 mg,1.37 mg,4.6 mcg,23.00 mg,0.010 mg,0.05 mg,1.00 mg,0.001 mg,24.00 mg,41.00 mg,0.0 mcg,0.05 mg,0.49 g,0.029 g,0.031 g,0.064 g,0.008 g,0.178 g,0.018 g,0.023 g,0,0.051 g,0.083 g,0.067 g,0.021 g,0.041 g,0.082 g,0.046 g,0.038 g,0.012 g,0.041 g,0.057 g,2.87 g,0.0 g,0.06 g,0,0,0,0,0,0,78.30 g,45.390 g,19.874 g,3.331 g,225.00 mg,0.0 g,1.62 g,0.00 mg,0.00 mg,16.72 g,1.2
392,"Ham, cooked, smoked, honey",100 g,122.0,2.4g,0.9g,22mg,900.00 mg,0,2.00 mcg,0.00 mcg,2.276 mg,0.238 mg,0.101 mg,0.402 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.0,0.38 mcg,0.231 mg,0.6 mg,0,0,0,0,6.00 mg,0.041 mg,0.39 mg,8.00 mg,0.028 mg,384.00 mg,165.00 mg,10.4 mcg,0.91 mg,17.93 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27 g,0.0 g,0.00 g,0,0,0,0,0,0,2.37 g,0.870 g,1.240 g,0.230 g,22.00 mg,0.0 g,2.49 g,0.00 mg,0.00 mg,69.94 g,3.5
393,"Spaghetti, cooked, spinach",100 g,130.0,0.6g,0.1g,0,14.00 mg,0,12.00 mcg,0.00 mcg,1.530 mg,0.183 mg,0.103 mg,0.097 mg,152.00 IU,8.00 mcg,0,0,0,0,0.0,0.00 mcg,0.096 mg,0.0 mg,0.00 IU,0,0,0,30.00 mg,0.205 mg,1.04 mg,62.00 mg,1.504 mg,108.00 mg,58.00 mg,22.1 mcg,1.08 mg,4.58 g,0.137 g,0.170 g,0.198 g,0.126 g,1.619 g,0.146 g,0.093 g,0,0.177 g,0.312 g,0.094 g,0.071 g,0.220 g,0.488 g,0.218 g,0.123 g,0.058 g,0.122 g,0.196 g,26.15 g,0,0,0,0,0,0,0,0,0.63 g,0.091 g,0.072 g,0.257 g,0.00 mg,0,0.50 g,0,0,68.14 g,0.6
394,"Bockwurst, raw, veal, pork",100 g,301.0,26g,10g,93mg,756.00 mg,46.4 mg,17.00 mcg,0.00 mcg,5.616 mg,0.891 mg,0.233 mg,0.193 mg,256.00 IU,15.00 mcg,0.00 mcg,148.00 mcg,2.00 mcg,108.00 mcg,0.0,0.86 mcg,0.378 mg,3.2 mg,0.00 IU,0.38 mg,0.38 mg,70.2 mcg,41.00 mg,0.100 mg,1.15 mg,26.00 mg,0.171 mg,169.00 mg,270.00 mg,11.3 mcg,2.07 mg,14.03 g,0.813 g,0.820 g,1.214 g,0.161 g,2.176 g,0.690 g,0.513 g,0,0.677 g,1.107 g,1.166 g,0.333 g,0.556 g,0.576 g,0.534 g,0.613 g,0.153 g,0.452 g,0.767 g,2.95 g,1.0 g,1.33 g,0.01 g,0.01 g,0.01 g,0.00 g,0.00 g,0.00 g,25.87 g,10.256 g,13.138 g,2.328 g,93.00 mg,0.0 g,2.26 g,0.00 mg,0.00 mg,54.47 g,2.5
395,"Guinea hen, raw, meat only",100 g,110.0,2.5g,0.6g,63mg,69.00 mg,0,6.00 mcg,0.00 mcg,8.782 mg,0.936 mg,0.112 mg,0.067 mg,41.00 IU,12.00 mcg,0,0,0,0,0.0,0.37 mcg,0.470 mg,1.7 mg,0,0,0,0,11.00 mg,0.044 mg,0.77 mg,24.00 mg,0.018 mg,169.00 mg,220.00 mg,17.5 mcg,1.20 mg,20.64 g,1.126 g,1.245 g,1.840 g,0.264 g,3.092 g,1.014 g,0.641 g,0,1.090 g,1.549 g,1.754 g,0.571 g,0.819 g,0.849 g,0.710 g,0.872 g,0.241 g,0.697 g,1.024 g,0.00 g,0.0 g,0,0,0,0,0,0,0,2.47 g,0.640 g,0.680 g,0.590 g,63.00 mg,0,1.25 g,0,0,74.44 g,3.5
396,"Cookies, soft-type, raisin",100 g,401.0,14g,3.5g,2mg,418.00 mg,14.7 mg,32.00 mcg,23.00 mcg,1.967 mg,0.244 mg,0.206 mg,0.216 mg,5.00 IU,2.00 mcg,0.00 mcg,1.00 mcg,1.00 mcg,37.00 mcg,0.0,0.03 mcg,0.052 mg,0.4 mg,0.00 IU,2.22 mg,2.22 mg,3.9 mcg,46.00 mg,0.413 mg,2.29 mg,21.00 mg,0.305 mg,83.00 mg,140.00 mg,2.8 mcg,0.32 mg,4.10 g,0.154 g,0.189 g,0.270 g,0.086 g,1.095 g,0.137 g,0.091 g,0,0.165 g,0.285 g,0.183 g,0.085 g,0.187 g,0.354 g,0.231 g,0.140 g,0.054 g,0.125 g,0.191 g,68.00 g,1.2 g,47.56 g,0,0,0,0,0,0,13.60 g,3.460 g,7.649 g,1.756 g,2.00 mg,0.0 g,1.20 g,0.00 mg,0.00 mg,13.10 g,2.5
397,"Squash, raw, acorn, winter",100 g,40.0,0.1g,,0,3.00 mg,0,17.00 mcg,0.00 mcg,0.700 mg,0.400 mg,0.010 mg,0.140 mg,367.00 IU,18.00 mcg,0.00 mcg,220.00 mcg,0.00 mcg,38.00 mcg,0.0,0.00 mcg,0.154 mg,11.0 mg,0.00 IU,0,0,0,33.00 mg,0.065 mg,0.70 mg,32.00 mg,0.167 mg,36.00 mg,347.00 mg,0.5 mcg,0.13 mg,0.80 g,0.033 g,0.044 g,0.086 g,0.007 g,0.140 g,0.029 g,0.015 g,0,0.031 g,0.045 g,0.029 g,0.010 g,0.031 g,0.028 g,0.031 g,0.024 g,0.011 g,0.027 g,0.034 g,10.42 g,1.5 g,0,0,0,0,0,0,0,0.10 g,0.021 g,0.007 g,0.042 g,0.00 mg,0,0.90 g,0,0,87.78 g,0.6
398,"Candies, KIT KAT Wafer Bar",100 g,518.0,26g,18g,11mg,54.00 mg,31.0 mg,14.00 mcg,6.00 mcg,0.500 mg,0.640 mg,0.210 mg,0.117 mg,81.00 IU,24.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,23.00 mcg,0.0,0.56 mcg,0.020 mg,0.0 mg,0.00 IU,0.34 mg,0.34 mg,5.2 mcg,125.00 mg,0.220 mg,1.00 mg,37.00 mg,0.100 mg,135.00 mg,231.00 mg,5.0 mcg,0.09 mg,6.51 g,0.200 g,0.200 g,0.470 g,0.120 g,1.520 g,0.160 g,0.110 g,0.000 g,0.280 g,0.520 g,0.280 g,0.160 g,0.270 g,0.650 g,0.320 g,0.190 g,0.090 g,0.150 g,0.360 g,64.59 g,1.0 g,48.68 g,0.20 g,0.00 g,0.16 g,8.21 g,0.07 g,40.04 g,25.99 g,17.953 g,5.844 g,0.895 g,11.00 mg,0.0 g,1.28 g,14.00 mg,116.00 mg,1.63 g,2.0
399,"Peppers, raw, green, sweet",100 g,20.0,0.2g,0.1g,0,3.00 mg,5.5 mg,10.00 mcg,0.00 mcg,0.480 mg,0.099 mg,0.028 mg,0.057 mg,370.00 IU,18.00 mcg,21.00 mcg,208.00 mcg,7.00 mcg,341.00 mcg,0.0,0.00 mcg,0.224 mg,80.4 mg,0.00 IU,0.37 mg,0.37 mg,7.4 mcg,10.00 mg,0.066 mg,0.34 mg,10.00 mg,0.122 mg,20.00 mg,175.00 mg,0.0 mcg,0.13 mg,0.86 g,0.036 g,0.027 g,0.208 g,0.012 g,0.194 g,0.030 g,0.010 g,0,0.024 g,0.036 g,0.039 g,0.007 g,0.092 g,0.024 g,0.054 g,0.036 g,0.012 g,0.012 g,0.036 g,4.64 g,1.7 g,2.40 g,1.12 g,0.00 g,1.16 g,0.00 g,0.00 g,0.11 g,0.17 g,0.058 g,0.008 g,0.062 g,0.00 mg,0.0 g,0.43 g,0.00 mg,0.00 mg,93.89 g,1.2
